fold,acc,prec,rec,f1,auc
1,0.9516450648055832,0.945510360706063,0.9793322734499205,0.9621241702459976,0.9850417222822069
2,0.9610972568578554,0.9573312645461598,0.9817024661893397,0.969363707776905,0.9882986824584465
3,0.9610972568578554,0.9697452229299363,0.9682034976152624,0.9689737470167065,0.9915634982963119
